Product,Variant,Price,Variant ID,URL
1:1 Optimization Coaching,3 Months,$6200,51711797821723,/products/1-1-optimization-coaching
1:1 Optimization Coaching,6 Months,$11900,51711797854491,/products/1-1-optimization-coaching
1:1 Optimization Coaching V2,Default Title,$49.95,51724545917211,/products/1-1-optimization-coaching-v2
Bio Signals: Beauty,3 Months,$750,51711797985563,/products/bio-signals-hair-skin
Bio Signals: Beauty,6 Months,$1395,51856250536219,/products/bio-signals-hair-skin
Bio Signals: Cognition + Brain Health,3 Months,$750,51711797920027,/products/bio-signals-cognition-brain-health
Bio Signals: Cognition + Brain Health,6 Months,$1395,51856252109083,/products/bio-signals-cognition-brain-health
Bio Signals: Energy,3 Months,$750,51711798051099,/products/bio-signals-energy
Bio Signals: Energy,6 Months,$1395,51856270557467,/products/bio-signals-energy
Bio Signals: Longevity,3 Months,$750,51711797952795,/products/bio-signals-longevity
Bio Signals: Longevity,6 Months,$1395,51856268132635,/products/bio-signals-longevity
Bio Signals: Performance + Recovery,3 Months,$750,51711798018331,/products/bio-signals-performance-recovery
Bio Signals: Performance + Recovery,6 Months,$1395,51856260464923,/products/bio-signals-performance-recovery
Bio Signals: Weight Loss + Metabolic Health,3 Months,$750,51711798083867,/products/bio-signals-weight-loss-metabolic-health
Bio Signals: Weight Loss + Metabolic Health,6 Months,$1395,51856271278363,/products/bio-signals-weight-loss-metabolic-health
Jesse: AI Concierge,Default Title,$99,51711797887259,/products/bio-signals-ai-concierge
